id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
34,RNN3,3200,64,10,128,True,rmsprop,5.0407,0.2576,49,244.0731,1,100
7,RNN2,3200,128,12,128,True,sgd_fast,3.4001,0.2574,23,120.9733,2,100
7,RNN2,3200,128,12,128,True,sgd_fast,3.4001,0.2574,23,120.9733,3,100
28,RNN3,3200,256,10,256,False,adam,3.6322,0.2514,44,180.4519,3,100
30,RNN3,3200,128,12,256,True,rmsprop,4.4427,0.2513,31,121.5612,3,100
30,RNN3,3200,128,12,256,True,rmsprop,4.4427,0.2513,31,121.5612,2,100
22,RNN3,3200,128,12,128,True,rmsprop,4.6697,0.2482,35,121.6761,3,100
22,RNN3,3200,128,12,128,True,rmsprop,4.6697,0.2482,35,121.6761,2,100
27,RNN2,3200,128,8,256,True,rmsprop,4.5068,0.2376,23,125.2602,2,100
27,RNN2,3200,128,8,256,True,rmsprop,4.5068,0.2376,23,125.2602,3,100
11,RNN2,3000,256,12,512,True,adam_fast,3.718,0.2343,35,430.9819,7,300
19,RNN2,3200,128,8,128,True,rmsprop,4.61,0.2324,27,120.34,3,100
19,RNN2,3200,128,8,128,True,rmsprop,4.61,0.2324,27,120.34,2,100
23,RNN2,3200,128,12,128,True,rmsprop,4.7583,0.2171,25,122.2503,3,100
23,RNN2,3200,128,12,128,True,rmsprop,4.7583,0.2171,25,122.2503,2,100
31,RNN2,3200,128,12,256,True,rmsprop,4.8886,0.1921,19,121.9,3,100
31,RNN2,3200,128,12,256,True,rmsprop,4.8886,0.1921,19,121.9,2,100
5,RNN2,3000,512,10,256,True,adam_fast,4.7282,0.1512,22,186.226,3,100
37,RNN4,3200,64,10,256,True,rmsprop,5.3753,0.1355,14,241.9252,1,100
33,RNN4,3200,64,10,128,True,rmsprop,5.4186,0.1319,15,248.8846,1,100
4,RNN3,3200,128,10,256,True,adam_fast,5.5831,0.1227,50,181.4984,3,100
1,RNN4,3200,128,8,128,True,sgd_fast,5.2662,0.1139,13,125.3315,2,100
1,RNN4,3200,128,8,128,True,sgd_fast,5.2662,0.1139,13,125.3315,3,100
5,RNN4,3200,128,12,128,True,sgd_fast,5.3434,0.1129,13,128.8673,3,100
5,RNN4,3200,128,12,128,True,sgd_fast,5.3434,0.1129,13,128.8673,2,100
21,RNN4,3200,128,12,128,True,rmsprop,5.669,0.1121,8,135.7278,2,100
21,RNN4,3200,128,12,128,True,rmsprop,5.669,0.1121,8,135.7278,3,100
9,RNN4,3200,128,8,256,True,sgd_fast,5.3264,0.1115,13,129.7894,2,100
9,RNN4,3200,128,8,256,True,sgd_fast,5.3264,0.1115,13,129.7894,3,100
29,RNN4,3200,128,12,256,True,rmsprop,5.7133,0.111,7,121.6744,2,100
29,RNN4,3200,128,12,256,True,rmsprop,5.7133,0.111,7,121.6744,3,100
17,RNN4,3200,128,8,128,True,rmsprop,5.6802,0.1103,8,130.8116,2,100
17,RNN4,3200,128,8,128,True,rmsprop,5.6802,0.1103,8,130.8116,3,100
13,RNN4,3200,128,12,256,True,sgd_fast,5.4536,0.1099,12,126.9288,2,100
13,RNN4,3200,128,12,256,True,sgd_fast,5.4536,0.1099,12,126.9288,3,100
25,RNN4,3200,128,8,256,True,rmsprop,5.7257,0.1096,7,122.1216,3,100
25,RNN4,3200,128,8,256,True,rmsprop,5.7257,0.1096,7,122.1216,2,100
4,RNN3,3000,512,10,256,True,adam_fast,6.628,0.109,27,185.6621,3,100
45,RNN4,3200,64,10,256,True,rmsprop_fast,7.6657,0.0931,14,241.2636,1,100
19,RNN2,3200,64,10,128,True,sgd,6.1924,0.0931,38,243.826,1,100
21,RNN4,3200,64,10,256,True,sgd,6.2063,0.0931,23,243.6551,1,100
17,RNN4,3200,64,10,128,True,sgd,6.2043,0.0931,24,242.5562,1,100
23,RNN2,3200,64,10,256,True,sgd,6.1917,0.0931,41,245.3035,1,100
37,RNN4,3200,128,12,128,True,rmsprop_fast,7.6853,0.0931,8,136.2357,3,100
